,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,host_neighbourhood,license,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_listings_count,minimum_maximum_nights,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_value,instant_bookable
0,,f,1,6,"['email', 'phone']",t,f,30,2.0,30.0,,29/12/24,0,0,,,,,,,,,0,0,29/12/24,0,0,30,30,2.0,30.0,,,Private room,1,,1 bath,1.0,0,1,,f,1,0,1,0,,1,30,,,,,,f
1,99%,t,3,6,"['email', 'phone']",t,f,90,1.0,90.0,t,29/12/24,9,0,04/07/13,29/09/24,4.29,4.48,4.42,4.52,James Bay,38790,0,0,29/12/24,70,9,90,90,1.0,90.0,,t,Entire home/apt,2,1.0,1 bath,1.0,3,0,38790,t,3,3,0,0,0.5,3,90,29/09/24,4.29,4.42,4.52,4.23,t
2,97%,t,2,4,"['email', 'phone']",t,t,730,2.0,730.0,t,29/12/24,13,0,05/05/11,13/10/24,4.88,4.89,4.87,4.92,,,44,289,29/12/24,148,13,730,730,2.0,730.0,,t,Entire home/apt,2,1.0,1 bath,1.0,2,0,,t,2,2,0,0,0.89,2,730,13/10/24,4.88,4.87,4.92,4.75,t
3,,f,1,3,"['email', 'phone', 'work_email']",t,f,180,60.0,180.0,t,29/12/24,0,0,09/08/12,26/08/18,4.91,4.9,4.98,4.89,,,83,173,29/12/24,64,0,180,180,60.0,180.0,,t,Entire home/apt,3,2.5,2.5 baths,2.0,1,0,,f,1,1,0,0,0.42,1,180,26/08/18,4.91,4.98,4.89,4.9,f
4,0%,f,3,3,"['email', 'phone', 'work_email']",t,t,365,1.0,365.0,t,29/12/24,0,0,17/08/11,22/09/19,4.72,4.67,4.65,4.82,,,90,365,29/12/24,52,0,365,365,1.0,365.0,,t,Private room,5,1.0,1 private bath,2.0,0,3,,f,3,0,3,0,0.32,3,365,22/09/19,4.72,4.65,4.82,4.61,f
5,100%,f,1,1,"['email', 'phone']",t,t,1125,30.0,1125.0,t,29/12/24,1,0,16/02/12,16/11/24,4.75,4.83,4.78,4.92,,,44,259,29/12/24,157,1,1125,1125,30.0,1125.0,,t,Entire home/apt,6,2.0,2 baths,2.0,1,0,,t,1,1,0,0,1.0,1,1125,16/11/24,4.75,4.78,4.92,4.76,t
6,0%,f,3,3,"['email', 'phone', 'work_email']",t,t,730,1.0,730.0,t,29/12/24,0,0,03/07/12,22/02/20,4.63,4.8,4.78,4.96,,,90,363,29/12/24,51,0,730,730,1.0,730.0,,t,Private room,3,1.0,1 private bath,1.0,0,3,,f,3,0,3,0,0.34,3,730,22/02/20,4.63,4.78,4.96,4.68,f
7,0%,f,3,3,"['email', 'phone', 'work_email']",t,t,365,1.0,365.0,t,29/12/24,0,0,07/08/15,26/07/19,4.67,4.67,4.75,4.75,,,90,365,29/12/24,12,0,365,365,1.0,365.0,,t,Private room,2,1.0,1 private bath,1.0,0,3,,f,3,0,3,0,0.1,3,365,26/07/19,4.67,4.75,4.75,4.58,f
8,98%,f,2,3,"['email', 'phone']",t,t,1125,3.7,1125.0,t,29/12/24,29,3,15/11/12,17/12/24,4.92,4.87,4.85,4.92,,,59,59,29/12/24,457,29,1125,1125,3.7,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,2,0,,t,2,2,0,0,3.1,2,1125,17/12/24,4.92,4.85,4.92,4.85,t
9,100%,t,2,2,"['email', 'phone', 'work_email']",t,t,1125,30.0,1125.0,t,29/12/24,2,0,07/10/11,08/09/24,4.88,4.94,4.9,4.94,,,5,37,29/12/24,259,2,1125,1125,30.0,1125.0,,t,Entire home/apt,3,1.0,1 bath,1.0,2,0,,f,2,2,0,0,1.61,2,1125,08/09/24,4.88,4.9,4.94,4.77,f
10,100%,t,2,2,"['email', 'phone', 'work_email']",t,t,1125,30.0,1125.0,t,29/12/24,0,0,30/06/15,09/07/18,4.75,4.88,5.0,5.0,,,0,0,29/12/24,8,0,1125,1125,30.0,1125.0,,t,Entire home/apt,4,,1 bath,1.0,2,0,,f,2,2,0,0,0.07,2,1125,09/07/18,4.75,5.0,5.0,4.88,f
11,85%,f,2,3,"['email', 'phone']",t,t,180,29.3,180.0,t,29/12/24,3,0,16/10/11,04/09/24,4.67,4.78,4.83,4.88,,38332,89,364,29/12/24,266,3,180,180,29.3,180.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,38332,f,2,0,2,0,1.65,2,180,04/09/24,4.67,4.83,4.88,4.74,f
12,100%,t,2,2,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,13,6,07/07/12,13/12/24,4.79,4.83,4.83,4.92,,,48,133,29/12/24,199,13,1125,1125,1.0,1125.0,,t,Private room,2,1.0,1 shared bath,1.0,0,2,,f,2,0,2,0,1.31,2,1125,13/12/24,4.79,4.83,4.92,4.81,f
13,0%,f,1,1,"['email', 'phone']",t,t,1125,5.0,1125.0,t,29/12/24,0,0,28/05/12,19/08/23,4.98,4.98,4.98,4.95,,,87,361,29/12/24,95,0,1125,1125,5.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.62,1,1125,19/08/23,4.98,4.98,4.95,4.98,f
14,71%,f,2,3,"['email', 'phone']",t,t,365,30.0,365.0,t,29/12/24,3,1,27/04/12,17/12/24,4.92,4.91,4.95,4.95,,,90,365,29/12/24,128,3,365,365,30.0,365.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,0.83,2,365,17/12/24,4.92,4.95,4.95,4.8,f
